лемма	IDF
белокочанный	0.967584
белоруссия	3.506558
белорусский	0.116534
белоснежный	3.912023
белоцерковский	3.912023
белочка	4.605170
белошвейка	3.912023
белошляпный	4.605170
белые	3.218876
белый	1.237874
бельгийский	0.116534
беляков	4.605170
беляш	3.506558
бендерик	3.912023
беннитый	3.912023
бенс	4.605170
берег	4.605170
беременная	0.116534
беременный	4.605170
берет	4.605170
беречься	4.605170
берил	4.605170
беркли	4.605170
берлин	3.912023
берлинск	4.605170
берлинский	3.912023
бернес	4.605170
берёзовый	4.605170
беседа	4.605170
беседин	0.127833
беседка	4.605170
бесконечно	4.605170
бесплатный	4.605170
бесповоротно	4.605170
бесподобный	1.560648
бесполезно	4.605170
беспорядок	4.605170
беспроигрышный	4.605170
бесспорный	4.605170
бесхлопотный	4.605170
бесчисленный	4.605170
бета	4.605170
бефстроганов	2.995732
бешамель	2.813411
бешамеля	4.605170
бешамолоть	3.912023
бешбармак	3.506558
биа	2.995732
биг	4.605170
бигус	3.506558
биддефорд	4.605170
бизнес	2.525729
биндюжник	4.605170
бирмингем	4.605170
бисквит	0.040822
бисквитный	0.105361
бисмарк	4.605170
биточек	1.897120
битый	4.605170
бить	3.506558
бифштекс	4.605170
бич	3.912023
бишь	4.605170
благо	3.912023
благоверный	4.605170
благовещенец	4.605170
благовещенск	4.605170
благодарить	2.407946
благодарность	2.659260
благодарный	1.660731
благодаря	1.897120
благополучно	3.506558
благоухать	4.605170
блат	3.506558
блатной	4.605170
блендер	4.605170
блеск	4.605170
блестящий	3.506558
ближний	4.605170
близкие	2.659260
близкий	0.116534
блин	0.040822
блинница	3.912023
блинный	2.813411
блиноедкий	4.605170
блинчатый	4.605170
блинчик	1.714798
блистательный	3.912023
блиц	2.207275
блог	2.302585
блогер	2.659260
блокировка	4.605170
блокнот	3.912023
блондинка	4.605170
блондиночка	3.218876
блуждать	4.605170
блю	3.506558
блюдо	0.040822
блюменталь	4.605170
бобовый	0.116534
бог	3.218876
богатый	2.813411
богоявление	4.605170
бодрый	4.605170
бодрящий	4.605170
боец	4.605170
божественно	4.605170
божественный	4.605170
бой	4.605170
бойчук	4.605170
бок	4.605170
бокал	4.605170
болгарский	0.116534
болезный	4.605170
болезнь	2.995732
болельщик	4.605170
болеть	4.605170
больница	4.605170
больно	1.966113
больной	4.605170
больший	2.040221
большинство	2.207275
большой	0.094311
бомба	3.506558
бонус	3.506558
бооооольший	3.218876
бородинский	4.605170
борт	2.525729
бортик	4.605170
бортовый	2.525729
борщ	0.040822
борщик	3.506558
ботвинья	0.040822
боунд	3.912023
бочковый	4.605170
бояться	2.659260
брависсиимммооо	4.605170
брависсимо	4.605170
брависссииимооо	4.605170
браво	3.218876
брага	4.605170
бразилия	4.605170
бразильский	0.116534
брамптон	4.605170
брат	2.813411
брать	1.897120
браться	4.605170
браузер	0.040822
брауни	0.040822
бреа	3.506558
бренд	4.605170
бренди	4.605170
брест	0.127833
бретон	3.912023
бретонский	4.605170
бри	4.605170
бризоль	2.659260
брикс	4.605170
бристол	4.605170
британский	4.605170
брожение	4.605170
брок	3.912023
брокколи	0.040822
бронзовый	4.605170
брук	4.605170
брускетта	4.605170
брусочек	3.912023
брызги	2.659260
брынза	3.912023
брэдфорд	4.605170
брюки	4.605170
будни	2.525729
будничный	4.605170
будущее	4.605170
будущий	4.605170
буженина	0.040822
буквально	2.407946
букет	3.218876
булгур	4.605170
булгуром	4.605170
булдыжка	4.605170
булка	4.605170
булочка	0.040822
булочный	4.605170
бульон	0.040822
бульонный	4.605170
бумага	3.506558
бумажка	4.605170
бур	4.605170
бургер	0.040822
бурить	4.605170
бурятский	0.116534
бутерброд	0.040822
бутербродик	4.605170
бутон	4.605170
бутылка	2.813411
бутылочка	2.813411
бутыль	4.605170
бухгалтер	4.605170
буш	3.506558
бывать	1.897120
быстренько	3.218876
быстро	0.094311
быстрота	3.506558
быстрый	0.094311
быт	4.605170
бытовой	4.605170
бьянка	4.605170
бэз	4.605170
бэй	4.605170
бюджет	4.605170
бюджетный	2.813411
бяка	4.605170
бёдрышка	4.605170
важно	4.605170
важный	0.116534
ваил	4.605170
вай	4.605170
валентин	4.605170
валентина	4.605170
валлийский	0.116534
валсенбург	4.605170
ванилин	1.609438
ваниль	2.813411
ванильный	1.347074
ванкувер	4.605170
варена	3.218876
варение	0.040822
вареник	0.116534
вариант	0.356675
вариация	2.407946
варить	3.506558
вариться	3.912023
варка	1.832581
варьировать	4.605170
варя	3.912023
варёный	2.407946
васаби	3.912023
васильев	4.605170
васильковый	4.605170
ватапа	4.605170
ватерфорд	4.605170
ватрушка	0.040822
вафля	0.040822
ваха	4.605170
вахня	4.605170
ваш	0.000000
вбить	4.605170
введение	4.605170
вверх	4.605170
вверху	4.605170
ввести	3.912023
ввод	2.302585
вводить	0.040822
вгонять	4.605170
вдвое	4.605170
вдоволь	3.912023
вдохновение	0.116534
вдохновляться	0.116534
вдруг	2.407946
вдуматься	4.605170
веганский	3.912023
вегетарианец	4.605170
вегетарианский	0.116534
ведро	4.605170
ведущий	4.605170
ведьма	4.605170
везде	4.605170
вездесущие	4.605170
везти	4.605170
век	2.120264
вековой	4.605170
велеть	4.605170
великий	0.116534
великобритания	3.506558
великое	2.995732
великолепнейшеий	2.659260
великолепно	3.506558
великолепный	1.427116
величина	3.912023
венгерка	4.605170
венгерски	4.605170
венгерский	0.116534
венерик	2.120264
венок	4.605170
венский	4.605170
венчать	4.605170
венчик	4.605170
вера	3.506558
веранда	4.605170
верить	2.407946
вериться	4.605170
вермишель	3.912023
вернона	4.605170
вернуть	4.605170
вернуться	2.995732
верный	2.995732
вероисповедание	4.605170
версия	1.897120
вертут	4.605170
верх	4.605170
верхом	4.605170
верёвка	4.605170
вес	3.506558
весело	4.605170
весенний	0.051293
весна	0.116534
вест	4.605170
вести	4.605170
весёлка	4.605170
весёлый	2.525729
веточка	4.605170
ветчина	0.094311
ветчинный	4.605170
вечер	2.120264
вечеринка	3.912023
вечерний	4.605170
вечерок	4.605170
вечером	2.407946
вечно	4.605170
вечный	4.605170
вешенка	4.605170
вещество	3.506558
вещь	3.912023
взаимодействие	4.605170
взбивание	3.912023
взбивать	2.995732
взбить	2.525729
взвешивать	4.605170
взгляд	1.427116
взмах	4.605170
взрослый	2.659260
взрыв	2.995732
взять	1.171183
взяться	4.605170
вивальдь	4.605170
вид	0.776529
видать	4.605170
видео	0.116534
видеорецепт	0.301105
видеть	2.659260
видно	3.506558
визит	4.605170
визитёр	4.605170
вика	3.506558
виколя	4.605170
викторвилл	3.912023
викторин	3.912023
викторина	3.912023
вилка	3.218876
вилы	4.605170
вина	2.995732
винегрет	4.605170
винелэнд	4.605170
винни	4.605170
винный	4.605170
вино	0.040822
виноград	3.506558
виноградный	4.605170
вирджиния	4.605170
виртуоз	4.605170
витамин	3.912023
витаминк	4.605170
витаминный	4.605170
витать	3.506558
витина	3.912023
виченец	4.605170
вишня	1.832581
вишнёвый	3.506558
включать	0.634878
включая	4.605170
включить	3.506558
вконтакте	3.912023
вкрапление	3.506558
вксуной	4.605170
вкус	0.105361
вкусненький	2.995732
вкусно	0.094311
вкуснооо	4.605170
вкусность	3.218876
вкуснотища	3.218876
вкусный	0.061875
вкуснючий	4.605170
вкуснятина	2.207275
вкусняшный	4.605170
вкусовой	2.813411
вкууууусный	3.912023
вкуууууусный	4.605170
владикавказ	4.605170
владимировна	4.605170
влажный	3.506558
вливать	4.605170
влить	3.218876
влюбить	0.116534
влюбиться	1.386294
вместе	0.916291
вместо	2.407946
вначале	0.248461
вне	3.912023
внести	2.813411
внешне	3.912023
внешний	3.912023
вниз	4.605170
внимание	1.237874
внимательно	2.995732
внимать	4.605170
внук	4.605170
внутренне	4.605170
внутренний	4.605170
внутри	1.469676
внучка	3.218876
внушительный	4.605170
вобщий	4.605170
вовнутрь	4.605170
вовременной	4.605170
вовсе	3.912023
вовсю	4.605170
вода	0.094311
водичка	4.605170
водка	2.302585
водочка	3.912023
водяной	4.605170
возбудить	4.605170
возбуждать	4.605170
возвращаться	2.813411
воздух	3.506558
воздушный	1.469676
возиться	3.912023
возможно	1.469676
возможность	1.966113
вознаградить	4.605170
возникать	3.912023
возникнуть	2.995732
возня	3.912023
возразить	3.218876
возрастание	4.605170
возрождение	4.605170
война	4.605170
войско	4.605170
войти	0.000000
волна	4.605170
волновать	2.407946
волован	0.116534
волхв	4.605170
волшебно	2.525729
волшебный	0.116534
волшебство	0.116534
вольчек	4.605170
воля	4.605170
вообще	1.386294
воодушевление	4.605170
вооружение	3.912023
вооружённый	4.605170
воплотить	4.605170
воплощение	4.605170
вопрос	0.000000
воронежский	4.605170
восемь	3.912023
воскресение	4.605170
воскресный	2.302585
воспеваться	4.605170
воспользоваться	1.832581
воспоминание	2.302585
воспринять	3.506558
воспроизвести	4.605170
восток	3.218876
восторг	1.309333
восточный	0.127833
востребовать	4.605170
восхитительно	3.912023
восхитительный	2.120264
восход	4.605170
впервые	1.560648
впереди	2.407946
вперёд	4.605170
впечатление	2.407946
впечатлить	3.218876
впечатлять	4.605170
вписать	4.605170
вписаться	4.605170
вписываться	4.605170
впитать	3.218876
впитывать	3.218876
вполне	2.813411
вправе	4.605170
впрок	2.813411
впрочем	3.912023
врасплох	4.605170
врать	2.407946
вращательный	4.605170
вред	3.912023
временной	3.912023
время	0.105361
вроде	1.897120
вряд	4.605170
всевозможный	2.813411
всегда	0.653926
вселенная	4.605170
всемирный	3.912023
вслепую	3.912023
вспоминать	2.813411
вспомнить	0.040822
вспомниться	4.605170
вставать	3.912023
вставить	4.605170
вставка	2.407946
встретить	3.506558
встретиться	2.995732
встреча	3.218876
встречать	2.525729
встречаться	3.912023
вступать	2.302585
всякий	2.120264
всяческий	4.605170
вторник	3.912023
второе	0.116534
второй	0.116534
втрое	4.605170
ву	4.605170
вуаля	3.506558
вулканчик	4.605170
вход	0.030459
входить	2.813411
вчера	2.040221
вчерашний	4.605170
выбирать	3.912023
выбираться	3.912023
выбор	2.813411
выбраживание	4.605170
выбрасывать	3.912023
выбрать	3.506558
вывариваться	4.605170
выведать	3.218876
вывести	4.605170
выглядеть	1.469676
выгнать	4.605170
выгодно	4.605170
выдавать	3.506558
выдаваться	4.605170
выдавливание	4.605170
выдать	2.407946
выделить	4.605170
выезд	4.605170
выехать	4.605170
выждать	3.912023
выжить	4.605170
вызвать	4.605170
выйти	0.040822
выкипеть	4.605170
выкладывать	1.660731
выкладываться	3.506558
выливать	4.605170
вылить	3.912023
выложить	1.832581
вымакивать	4.605170
вымешивать	4.605170
выносить	2.525729
выносливый	3.912023
вынуть	3.912023
выпадать	4.605170
выпекать	2.995732
выпечка	0.040822
выпечный	4.605170
выпечь	3.912023
выполнять	4.605170
выпросить	2.525729
выпуск	3.506558
выражать	3.912023
выражение	4.605170
выраженный	3.506558
вырасти	3.912023
выращивать	3.912023
вырезать	4.605170
вырезка	4.605170
выручалочка	1.560648
выручать	2.813411
выручить	3.218876
вырываться	3.506558
высвободить	4.605170
высказать	4.605170
выскакивать	4.605170
выслать	4.605170
высокий	2.407946
высоцкий	4.605170
выставить	2.813411
выставлять	2.525729
выстраиваться	2.302585
выстрел	4.605170
выступать	4.605170
высушить	4.605170
вытекать	2.813411
вытеснить	3.218876
вытечь	4.605170
вытянутый	4.605170
выходить	3.218876
выходной	2.040221
выше	3.912023
выявить	4.605170
выясниться	3.912023
вьетнамский	0.116534
вязальный	2.995732
вяленый	2.525729
гавайский	0.116534
газ	3.912023
газета	2.207275
газировать	4.605170
газировка	4.605170
газовый	3.912023
галатриэль	4.605170
галета	4.605170
гали	3.912023
галичина	3.506558
галушка	2.813411
гамбургер	4.605170
гамма	3.912023
ганаш	4.605170
гараж	1.078810
гарантировать	4.605170
гарден	3.506558
гармоничный	4.605170
гарнир	0.040822
гаспачо	0.040822
гастониа	4.605170
гастроном	3.506558
гастрономить	4.605170
гастрономический	4.605170
гастрономия	4.605170
гатин	3.912023
гашёный	2.207275
гвоздик	2.302585
гениальный	4.605170
геннадий	4.605170
география	0.116534
германия	3.506558
герой	4.605170
гибель	4.605170
гинкан	4.605170
гитара	4.605170
гитарный	4.605170
главное	1.139434
главный	0.040822
гладь	4.605170
глаз	2.207275
глазировать	3.912023
глазунья	4.605170
глазурь	0.040822
глассборо	4.605170
глехурада	3.218876
глинский	4.605170
глинтвейн	0.040822
глоба	4.605170
глобус	4.605170
глубина	4.605170
глубинка	4.605170
глубокий	4.605170
глутамат	3.912023
глюкоза	4.605170
глютамат	4.605170
глянец	3.218876
гмо	4.605170
гнездо	2.207275
го	3.506558
говорить	1.272966
говориться	4.605170
говядина	0.116534
говяжий	2.995732
гогала	4.605170
гогалом	4.605170
гогалчик	4.605170
год	0.083382
годзилла	4.605170
годовой	4.605170
голдсборо	4.605170
голень	2.995732
голландский	0.116534
голова	2.659260
головокружительный	4.605170
голод	4.605170
голодный	4.605170
голос	3.506558
голубец	2.813411
голубика	4.605170
голубой	3.912023
голубцов	3.912023
гонять	3.912023
гора	2.995732
гораздо	2.040221
горбуша	3.912023
гордон	4.605170
гордый	3.218876
горелый	4.605170
гореть	4.605170
горка	3.218876
город	0.116534
городок	3.912023
городской	4.605170
горожанин	4.605170
горох	0.116534
гороховый	3.506558
горошек	2.302585
горчица	0.040822
горчичка	4.605170
горчичный	2.813411
горшок	3.506558
горшочек	0.040822
горький	3.218876
горячее	0.116534
горяченький	3.218876
горячий	0.105361
гост	2.659260
гостевой	3.912023
гостовский	3.912023
гость	0.116534
государственный	4.605170
готовить	0.083382
готовиться	0.371064
готовка	2.120264
готовность	3.912023
готовый	0.755023
гр	3.912023
гра	3.912023
градус	2.525729
гражданин	4.605170
грамм	3.218876
гранат	3.912023
гранби	4.605170
гранд	3.912023
грандиозный	4.605170
гранулированный	4.605170
гратин	4.605170
гратный	2.813411
гребешков	3.912023
гренка	0.040822
грех	4.605170
грецкий	1.469676
гречески	3.912023
греческий	0.116534
гречка	0.040822
гречневый	3.506558
греш	4.605170
гриб	0.040822
грибной	0.040822
грибочек	3.218876
гриль	0.105361
грильмания	0.116534
грин	4.605170
гринборо	4.605170
гринвилл	4.605170
гриннелла	4.605170
грог	0.040822
громкий	3.912023
громко	4.605170
грубый	3.912023
грудинка	3.506558
грудка	0.967584
грудной	4.605170
грудочка	3.912023
грузин	3.912023
грузински	3.506558
грузинский	0.116534
грузия	2.995732
груня	4.605170
группа	0.061875
группироваться	3.912023
груть	3.506558
груша	4.605170
грязный	4.605170
грязь	4.605170
гсвг	4.605170
гуджарат	4.605170
гудзона	3.912023
гудкук	4.605170
гужеры	4.605170
гульчехр	3.218876
гуляние	3.912023
гуляш	3.912023
гур	4.605170
гурм	0.127833
гурман	2.813411
гурмания	0.116534
гусеница	4.605170
густовато	4.605170
густой	2.407946
густота	3.912023
гусь	0.105361
гуща	3.912023
давать	0.040822
давис	4.605170
давненько	2.995732
давний	4.605170
давно	0.967584
давность	4.605170
давный	2.407946
далее	2.813411
далеко	3.218876
дальнейший	4.605170
дальний	3.506558
далёкий	2.659260
дама	3.506558
дамезанас	4.605170
дамский	4.605170
данбур	3.912023
данные	0.040822
данный	1.660731
дар	0.116534
дарий	3.506558
дарина	4.605170
дариоля	4.605170
дарить	4.605170
дарья	3.912023
дата	0.248461
дато	4.605170
датский	0.116534
дать	0.040822
дача	2.659260
дачный	0.116534
даша	3.912023
дашунь	4.605170
два	0.967584
двадцать	3.912023
дважды	2.525729
двенадцать	4.605170
дверь	2.302585
движение	3.506558
движущий	4.605170
двое	3.506558
двойной	3.912023
двор	4.605170
двустворчатый	4.605170
двухлетний	4.605170
двухметровый	4.605170
де	4.605170
дебошир	4.605170
дебют	4.605170
дебютировать	4.605170
дебютный	4.605170
дева	3.912023
девочка	1.171183
девушка	3.506558
девчата	3.912023
девяностодевятилетний	4.605170
девяностый	3.218876
дегустация	3.506558
дегустировать	4.605170
дед	4.605170
деепричастие	4.605170
дежурный	3.912023
дежурство	4.605170
действие	4.605170
действительно	1.832581
действительность	4.605170
дейтон	4.605170
декабрь	0.597837
декабрьский	4.605170
декор	0.127833
декоративный	4.605170
декорирование	3.506558
делать	0.083382
делаться	1.203973
деликатес	2.659260
деликатесный	4.605170
делион	3.218876
делиться	0.040822
дело	0.105361
деловой	4.605170
дембельск	4.605170
дембельский	4.605170
дембельско	4.605170
демоника	2.525729
демонстрация	4.605170
демополис	4.605170
демурия	3.912023
денвер	3.912023
денежка	4.605170
день	0.040822
деньга	4.605170
депрессия	2.302585
деревенски	2.995732
деревенский	2.659260
дерево	3.912023
деревянный	3.912023
держать	2.407946
держаться	2.302585
деруна	3.506558
десерт	0.040822
десертация	0.116534
десертный	0.116534
десятый	3.912023
десять	2.040221
детишки	3.506558
детский	2.525729
детство	1.897120
деть	3.912023
дефростация	4.605170
децатур	4.605170
дешёвый	3.218876
дж	4.605170
джандуйя	4.605170
джезва	3.506558
джем	0.040822
джема	0.040822
дженять	2.659260
джоллоф	4.605170
дзен	0.116534
диагноз	4.605170
диаметр	3.912023
диафрагма	4.605170
диван	3.506558
дивный	3.912023
диво	4.605170
диета	0.094311
диетический	1.966113
диетичёска	3.912023
диетолог	4.605170
дикий	0.116534
дип	0.116534
дипами	3.912023
дир	3.912023
дичь	0.116534
длинно	4.605170
длинный	4.605170
длительный	2.207275
длиться	3.912023
дневник	0.061875
дно	2.813411
добавить	0.083382
добавка	2.302585
добавление	0.223144
добавлять	0.040822
добавляться	2.813411
добираться	4.605170
добиться	4.605170
добраться	4.605170
добро	3.218876
добровольно	4.605170
доброжелательный	4.605170
доброта	3.912023
доброфлот	0.127833
добрый	2.659260
добывать	4.605170
доверять	0.116534
довестись	4.605170
доводить	4.605170
довольно	1.609438
довольный	1.897120
дог	3.912023
додуматься	4.605170
дождаться	3.912023
дожидаться	3.912023
дожить	4.605170
дойти	2.525729
долг	3.506558
долгий	1.609438
долго	1.514128
долгожданный	4.605170
должное	4.605170
должный	1.078810
долма	3.506558
долька	3.912023
дольче	3.912023
доля	4.605170
дом	0.040822
домашний	0.040822
доминировать	3.912023
домой	2.525729
домосед	4.605170
домохозяйка	2.302585
домочадец	3.506558
дополнение	2.302585
дополнять	2.407946
допускать	3.912023
допустить	4.605170
доработать	4.605170
дорога	2.659260
дорого	3.506558
дорогой	1.139434
дорогущий	4.605170
дорожка	3.218876
доротея	4.605170
доска	4.605170
дословно	4.605170
доснять	4.605170
доставать	4.605170
доставить	4.605170
доставка	4.605170
достаточно	2.040221
достать	4.605170
достаться	3.506558
достигнуть	4.605170
достижение	3.912023
достоинство	2.120264
достойно	2.995732
достойный	2.407946
достоять	4.605170
доступ	3.912023
доступно	3.912023
доступный	2.659260
досуг	4.605170
доходить	4.605170
доченька	4.605170
дочий	3.506558
дочка	2.995732
дочь	3.218876
драгоценный	3.218876
драйв	0.127833
дракон	4.605170
драник	3.218876
древний	4.605170
дрожжев	3.912023
дрожжевой	0.116534
дрожжи	0.916291
друг	0.544727
дружить	3.506558
дружно	4.605170
дружный	4.605170
дудник	4.605170
думать	0.634878
дункан	4.605170
дуняша	4.605170
дура	4.605170
дуршлаг	4.605170
дух	2.407946
духовка	0.105361
душа	0.105361
душевно	4.605170
душевный	4.605170
душистый	1.237874
дым	4.605170
дырочка	2.813411
дышать	3.506558
дюглера	3.218876
еврейский	0.116534
европа	3.218876
египетский	0.116534
еда	2.120264
едать	4.605170
едва	4.605170
единица	4.605170
единогласно	3.912023
единственный	3.218876
единый	0.000000
едок	3.912023
ежегодно	2.407946
ежедневно	3.912023
ежедневный	4.605170
ежели	3.912023
ездить	3.912023
екатерина	3.912023
еко	0.127833
елена	2.813411
ендова	4.605170
естественно	4.605170
естественный	2.813411
есться	4.605170
ефентф	4.605170
ехать	2.302585
жалеть	3.218876
жалко	3.912023
жалоба	4.605170
жалость	4.605170
жаль	3.218876
жанна	4.605170
жанр	4.605170
жареный	1.272966
жарить	1.347074
жариться	2.120264
жарка	3.506558
жаркий	4.605170
жарко	4.605170
жаркое	0.040822
жбан	4.605170
жгучий	1.966113
ждать	2.207275
желаемый	1.469676
желание	1.771957
желательно	2.525729
желатина	1.427116
желать	2.995732
желе	0.040822
желейный	4.605170
желток	1.237874
желудков	4.605170
желудок	4.605170
желудочек	4.605170
жемчужина	4.605170
жемчужный	4.605170
жена	2.813411
женский	0.020203
женщина	0.061875
женёчек	4.605170
жером	4.605170
жестокий	4.605170
жж	3.218876
живить	4.605170
живой	2.995732
животное	3.912023
живьём	4.605170
жигар	4.605170
жиго	4.605170
жидкий	2.813411
жидковатый	4.605170
жидкость	3.506558
жизнь	0.040822
жилларди	4.605170
жир	1.897120
жирный	2.207275
житель	2.995732
житня	4.605170
жить	2.207275
жкт	3.506558
жуков	4.605170
жуковачка	4.605170
жульен	0.040822
журнал	0.072571
жутко	4.605170
жуть	4.605170
жюльен	0.040822
жюльный	0.040822
жёсткий	3.912023
забегать	3.506558
забежать	4.605170
забивать	3.912023
забирать	2.995732
забитый	4.605170
заболевание	3.506558
забота	4.605170
заботливый	4.605170
забрать	4.605170
забывать	3.218876
забытый	2.995732
забыть	2.040221
завал	4.605170
заварной	0.116534
заведение	2.525729
заверить	3.912023
завернуть	3.912023
завершение	3.912023
завершить	4.605170
завершиться	3.218876
завести	4.605170
зависеть	2.120264
зависимость	3.506558
завитушка	4.605170
завоевать	4.605170
завтрак	0.094311
завтракать	4.605170
завтрашний	4.605170
завязать	4.605170
завязывать	3.912023
заглядывать	4.605170
заглянуть	2.659260
загореться	4.605170
заготавливать	3.912023
заготовить	3.218876
заготовка	0.040822
заготовочко	3.912023
загрузить	3.912023
загустение	4.605170
загуститель	4.605170
загущать	4.605170
задавать	0.040822
задаваться	4.605170
задать	2.525729
задача	4.605170
задержать	4.605170
задубеть	4.605170
задумчиво	4.605170
заигрыш	4.605170
заинтересовать	1.966113
заинтересоваться	3.218876
заинтриговать	3.218876
заказ	3.506558
заказать	4.605170
заказывать	3.912023
закал	4.605170
заканчиваться	3.912023
закарпатский	4.605170
закваска	0.040822
заквашивание	4.605170
закидать	3.912023
закладывать	4.605170
заключаться	4.605170
законодательство	4.605170
законсервировать	4.605170
закончиться	4.605170
закрепиться	4.605170
закристаллизовать	4.605170
закрутка	4.605170
закрывать	4.605170
закрытый	0.116534
закрыть	4.605170
закупка	4.605170
закуска	0.040822
закусон	4.605170
закусончик	0.116534
закусочка	0.116534
закусочная	0.116534
закусочный	1.660731
зал	4.605170
заламинировать	2.407946
залежалый	4.605170
залежаться	4.605170
